Datum	Ereignis	Quelle
2020-02-27	Sprunghafter Anstieg in Deutschland [Infizierte geben an, am Karneval teilgenommen zu haben]	https://www.faz.net/aktuell/gesellschaft/gesundheit/coronavirus/zahlen-zum-coronavirus-die-pandemie-im-ueberblick-16653240.html
2020-02-28	Ausbreitung in Deutschland	https://www.faz.net/aktuell/gesellschaft/gesundheit/coronavirus/zahlen-zum-coronavirus-die-pandemie-im-ueberblick-16653240.html
2020-02-29	Spahn kündigt Sondersitzung des Gesundheitsausschusses an	https://www.faz.net/aktuell/gesellschaft/gesundheit/coronavirus/zahlen-zum-coronavirus-die-pandemie-im-ueberblick-16653240.html
2020-03-02	150 Infizierte in Deutschland nachgewiesen	https://www.faz.net/aktuell/gesellschaft/gesundheit/coronavirus/zahlen-zum-coronavirus-die-pandemie-im-ueberblick-16653240.html
2020-03-03	Leipziger Buchmesse wird abgesagt	https://www.faz.net/aktuell/gesellschaft/gesundheit/coronavirus/zahlen-zum-coronavirus-die-pandemie-im-ueberblick-16653240.html
2020-03-04	Italien schließt die Schulen	https://www.faz.net/aktuell/gesellschaft/gesundheit/coronavirus/zahlen-zum-coronavirus-die-pandemie-im-ueberblick-16653240.html
2020-03-06	Mehr als 500 Infizierte in Deutschland	https://www.faz.net/aktuell/gesellschaft/gesundheit/coronavirus/zahlen-zum-coronavirus-die-pandemie-im-ueberblick-16653240.html
2020-03-08	Deutscher stirbt in Ägypten	https://www.faz.net/aktuell/gesellschaft/gesundheit/coronavirus/zahlen-zum-coronavirus-die-pandemie-im-ueberblick-16653240.html
2020-03-09	Zwei Todesfälle in Deutschland	https://www.faz.net/aktuell/gesellschaft/gesundheit/coronavirus/zahlen-zum-coronavirus-die-pandemie-im-ueberblick-16653240.html
2020-03-10	Bundesländer verbieten Großveranstaltung	https://www.faz.net/aktuell/gesellschaft/gesundheit/coronavirus/zahlen-zum-coronavirus-die-pandemie-im-ueberblick-16653240.html
2020-03-11	Merkel ergreift das Wort	https://www.faz.net/aktuell/gesellschaft/gesundheit/coronavirus/zahlen-zum-coronavirus-die-pandemie-im-ueberblick-16653240.html
2020-03-12	Trump verbietet Europäern die Einreise	https://www.faz.net/aktuell/gesellschaft/gesundheit/coronavirus/zahlen-zum-coronavirus-die-pandemie-im-ueberblick-16653240.html
2020-03-13	Europäische Länder schließen ihre Grenzen	https://www.faz.net/aktuell/gesellschaft/gesundheit/coronavirus/zahlen-zum-coronavirus-die-pandemie-im-ueberblick-16653240.html
2020-03-15	Deutschland schließt die Grenzen	https://www.faz.net/aktuell/gesellschaft/gesundheit/coronavirus/zahlen-zum-coronavirus-die-pandemie-im-ueberblick-16653240.html
2020-03-17	Gefahrenstufe: "Hoch" [laut RKI]	https://www.faz.net/aktuell/gesellschaft/gesundheit/coronavirus/zahlen-zum-coronavirus-die-pandemie-im-ueberblick-16653240.html
2020-03-18	Bayern verschiebt das Abitur	https://www.faz.net/aktuell/gesellschaft/gesundheit/coronavirus/zahlen-zum-coronavirus-die-pandemie-im-ueberblick-16653240.html
2020-03-20	Ausgangsbeschränkungen in Bayern und im Saarland	https://www.faz.net/aktuell/gesellschaft/gesundheit/coronavirus/zahlen-zum-coronavirus-die-pandemie-im-ueberblick-16653240.html
2020-03-21	Fast 800 Tote an einem Tag in Italien [Triage in Italien]	https://www.faz.net/aktuell/gesellschaft/gesundheit/coronavirus/zahlen-zum-coronavirus-die-pandemie-im-ueberblick-16653240.html
2020-03-22	Bund beschließt Kontaktverbot	https://www.faz.net/aktuell/gesellschaft/gesundheit/coronavirus/zahlen-zum-coronavirus-die-pandemie-im-ueberblick-16653240.html
2020-03-23	156 Milliarden Euro gegen die Krise	https://www.faz.net/aktuell/gesellschaft/gesundheit/coronavirus/zahlen-zum-coronavirus-die-pandemie-im-ueberblick-16653240.html
2020-03-24	Die Olympischen Spiele werden verschoben	https://www.faz.net/aktuell/gesellschaft/gesundheit/coronavirus/zahlen-zum-coronavirus-die-pandemie-im-ueberblick-16653240.html
2020-03-27	Boris Johnson positiv getestet - und mehr als 50.000 bestätigte Infizierte in Deutschland	https://www.faz.net/aktuell/gesellschaft/gesundheit/coronavirus/zahlen-zum-coronavirus-die-pandemie-im-ueberblick-16653240.html
2020-03-30	Lazarettschiff in New York	https://www.faz.net/aktuell/gesellschaft/gesundheit/coronavirus/zahlen-zum-coronavirus-die-pandemie-im-ueberblick-16653240.html
2020-03-31	Guterres spricht von der "größten Herausforderung seit dem 2. Weltkrieg"	https://www.faz.net/aktuell/gesellschaft/gesundheit/coronavirus/zahlen-zum-coronavirus-die-pandemie-im-ueberblick-16653240.html
2020-04-04	200.000 gestrandete deutsche Urlauber zurück in Deutschland	https://www.faz.net/aktuell/gesellschaft/gesundheit/coronavirus/zahlen-zum-coronavirus-die-pandemie-im-ueberblick-16653240.html
2020-04-06	Österreich stellt Exit-Strategie vor	https://www.faz.net/aktuell/gesellschaft/gesundheit/coronavirus/zahlen-zum-coronavirus-die-pandemie-im-ueberblick-16653240.html
2020-04-08	Mehr als 100.000 bestätigte Infizierte in Deutschland - Wuhan beendet Abschottung [33.000 Genesene in DE]	https://www.faz.net/aktuell/gesellschaft/gesundheit/coronavirus/zahlen-zum-coronavirus-die-pandemie-im-ueberblick-16653240.html
2020-04-12	Mehr als 20.000 Tote in den Vereinigten Staaten	https://www.faz.net/aktuell/gesellschaft/gesundheit/coronavirus/zahlen-zum-coronavirus-die-pandemie-im-ueberblick-16653240.html
2020-04-13	Leopldina[sic] steht[sic] Gutachten vor	https://www.faz.net/aktuell/gesellschaft/gesundheit/coronavirus/zahlen-zum-coronavirus-die-pandemie-im-ueberblick-16653240.html
2020-04-15	Bund und Länder einigen sich auf wenige Lockerungen [Maskenpflicht im Handel und ÖPNV, Geschäftsöffnung bis 800qm]	https://www.faz.net/aktuell/gesellschaft/gesundheit/coronavirus/zahlen-zum-coronavirus-die-pandemie-im-ueberblick-16653240.html
